date,open,high,low,close,volume,dividends,stock splits,capital gains
2023-05-19,182,184,181,183,8432300,0,0,0
2023-05-22,183,183,182,183,4834300,0,0,0
2023-05-23,182,183,182,183,6345000,0,0,0
2023-05-24,183,183,181,181,6732900,0,0,0
2023-05-25,181,181,180,180,6919200,0,0,0
2023-05-26,181,181,180,180,5823700,0,0,0
2023-05-30,181,182,181,182,4906100,0,0,0
2023-05-31,182,183,182,182,8497900,0,0,0
2023-06-01,182,184,182,183,7300500,0,0,0
2023-06-02,183,183,180,181,8724800,0,0,0
2023-06-05,180,182,180,182,5748800,0,0,0
2023-06-06,182,182,181,182,4967200,0,0,0
2023-06-07,181,183,180,180,9066500,0,0,0
2023-06-08,182,183,181,182,6394100,0,0,0
2023-06-09,182,182,181,182,4379200,0,0,0
2023-06-12,181,181,181,181,4873600,0,0,0
2023-06-13,182,182,180,180,5126700,0,0,0
2023-06-14,181,181,180,180,6807000,0,0,0
2023-06-15,180,182,180,181,6739000,0,0,0
2023-06-16,181,182,181,181,8778600,0,0,0
2023-06-20,180,180,179,179,7584200,0,0,0
2023-06-21,179,179,178,179,6702300,0,0,0
2023-06-22,178,178,177,177,7945000,0,0,0
2023-06-23,179,179,178,178,5416800,0,0,0
2023-06-26,179,179,178,178,3222100,0,0,0
2023-06-27,179,179,177,177,5036900,0,0,0
2023-06-28,177,177,176,177,5866700,0,0,0
2023-06-29,175,177,175,177,6862500,0,0,0
2023-06-30,177,178,177,178,6420600,0,0,0
2023-07-03,178,179,178,178,4085700,0,0,0
2023-07-05,179,179,177,177,5650600,0,0,0
2023-07-06,177,177,176,177,5133000,0,0,0
2023-07-07,178,179,178,178,5200300,0,0,0
2023-07-10,178,178,178,178,3320500,0,0,0
2023-07-11,179,179,179,179,2819600,0,0,0
2023-07-12,181,181,181,181,7062000,0,0,0
2023-07-13,181,182,181,182,4527900,0,0,0
2023-07-14,181,182,181,181,5389300,0,0,0
2023-07-17,180,181,180,181,4152400,0,0,0
2023-07-18,182,184,182,183,8242600,0,0,0
2023-07-19,183,183,182,183,3911600,0,0,0
2023-07-20,183,183,182,182,4972900,0,0,0
2023-07-21,182,182,181,182,3843500,0,0,0
2023-07-24,182,182,181,181,4370000,0,0,0
2023-07-25,181,182,181,182,4090100,0,0,0
2023-07-26,182,183,182,183,6158400,0,0,0
2023-07-27,181,181,180,180,7592800,0,0,0
2023-07-28,181,182,181,181,3828800,0,0,0
2023-07-31,182,183,182,182,5494800,0,0,0
2023-08-01,180,181,180,180,6239700,0,0,0
2023-08-02,180,180,179,179,6339700,0,0,0
2023-08-03,179,179,179,179,4636300,0,0,0
2023-08-04,180,180,179,180,5325700,0,0,0
2023-08-07,180,180,179,179,4510400,0,0,0
2023-08-08,178,179,178,178,6162900,0,0,0
2023-08-09,178,178,177,177,4644000,0,0,0
2023-08-10,178,178,177,177,5934600,0,0,0
2023-08-11,177,178,177,177,5289400,0,0,0
2023-08-14,176,177,176,177,9554500,0,0,0
2023-08-15,176,177,176,176,7582700,0,0,0
2023-08-16,176,176,175,175,6559400,0,0,0
2023-08-17,176,176,174,175,7937700,0,0,0
2023-08-18,175,176,175,175,6251000,0,0,0
2023-08-21,175,175,174,175,4206400,0,0,0
2023-08-22,175,176,175,176,5892500,0,0,0
2023-08-23,177,178,177,177,7949100,0,0,0
2023-08-24,177,178,177,177,5526400,0,0,0
2023-08-25,177,178,176,177,6132800,0,0,0
2023-08-28,177,178,177,178,4740700,0,0,0
2023-08-29,178,179,177,179,7576600,0,0,0
2023-08-30,180,180,180,180,6593700,0,0,0
2023-08-31,180,180,179,180,4795600,0,0,0
2023-09-01,180,181,179,180,4969300,0,0,0
2023-09-05,179,179,178,178,7056800,0,0,0
2023-09-06,178,179,177,177,6427200,0,0,0
2023-09-07,178,178,177,178,3257200,0,0,0
2023-09-08,178,179,177,178,3292700,0,0,0
2023-09-11,178,179,178,178,3689100,0,0,0
2023-09-12,177,177,177,177,4445400,0,0,0
2023-09-13,177,177,177,177,3874800,0,0,0
2023-09-14,176,177,176,177,6184400,0,0,0
2023-09-15,178,179,178,178,5619600,0,0,0
2023-09-18,178,179,178,179,5049300,0,0,0
2023-09-19,179,179,179,179,4224700,0,0,0
2023-09-20,179,180,179,179,9328000,0,0,0
2023-09-21,177,178,177,178,7571900,0,0,0
2023-09-22,178,178,178,178,3634800,0,0,0
2023-09-25,178,178,177,177,5582100,0,0,0
2023-09-26,176,177,176,176,7181100,0,0,0
2023-09-27,175,175,173,174,10919600,0,0,0
2023-09-28,173,174,172,173,10061900,0,0,0
2023-09-29,173,174,171,171,10424900,0,0,0
2023-10-02,170,170,169,169,12706000,0,0,0
2023-10-03,169,170,168,169,11459800,0,0,0
2023-10-04,169,169,168,169,10034600,0,0,0
2023-10-05,168,169,168,168,6970200,0,0,0
2023-10-06,169,170,168,169,9942200,0,0,0
2023-10-09,171,172,171,172,10201500,0,0,0
2023-10-10,172,172,171,172,5844000,0,0,0
2023-10-11,173,174,173,173,7128000,0,0,0
2023-10-12,174,174,173,173,5912700,0,0,0
2023-10-16,177,178,177,177,8385400,0,0,0
2023-10-17,178,179,177,178,8231900,0,0,0
2023-10-18,180,182,179,180,13920800,0,0,0
2023-10-19,181,183,180,183,13406600,0,0,0
2023-10-20,183,185,183,183,12782800,0,0,0
2023-10-23,183,183,182,182,9479800,0,0,0
2023-10-24,182,183,181,182,6594000,0,0,0
2023-10-25,183,184,182,183,10087000,0,0,0
2023-10-26,183,184,182,184,7671400,0,0,0
2023-10-27,183,186,183,186,14102800,0,0,0
2023-10-30,185,185,184,185,8756400,0,0,0
2023-10-31,185,186,183,184,10104600,0,0,0
2023-11-01,183,185,182,183,9048600,0,0,0
2023-11-02,184,184,183,184,7343700,0,0,0
2023-11-03,184,185,184,184,8529000,0,0,0
2023-11-06,184,184,183,183,8274700,0,0,0
2023-11-07,182,182,181,182,6795800,0,0,0
2023-11-08,182,182,180,180,6738300,0,0,0
2023-11-09,180,182,180,181,6486300,0,0,0
2023-11-10,180,180,179,179,7606600,0,0,0
2023-11-13,179,180,179,180,5385900,0,0,0
2023-11-14,181,182,181,182,6831600,0,0,0
2023-11-15,182,182,181,181,4909400,0,0,0
2023-11-16,182,184,182,183,8253300,0,0,0
2023-11-17,183,184,183,183,4871100,0,0,0
2023-11-20,182,183,182,183,5389300,0,0,0
2023-11-21,185,186,185,185,7322400,0,0,0
2023-11-22,185,185,184,184,4337700,0,0,0
2023-11-24,185,185,185,185,2445100,0,0,0
2023-11-27,186,186,185,186,6320400,0,0,0
2023-11-28,187,189,187,189,10901900,0,0,0
2023-11-29,189,189,189,189,8407300,0,0,0
2023-11-30,188,189,188,188,7558100,0,0,0
2023-12-01,188,192,188,192,16724900,0,0,0
2023-12-05,187,187,186,187,7027700,0,0,0
2023-12-06,188,188,187,187,5778600,0,0,0
